"","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000068264",318.543062994089,312.340234924535,366.28687153267,391.688596796093,328.00350187748,546.018469751862,395.695428924427,431.087806282579,"Ap5s1"
"ENSMUSG00000068267",3857.79514075577,3288.44576883616,4024.57700096522,4350.5046756412,4794.28431425212,7295.22982104304,3262.4349264433,5388.0974766688,"Cenpb"
"ENSMUSG00000068270",61.2183736698738,78.9723889439877,43.9544245839204,68.5199372985332,56.3441598317143,37.0182013391093,41.0472436643596,46.0093714361918,"Shroom4"
"ENSMUSG00000068284",670.289311707431,625.567800061925,558.587479087322,481.684932352375,499.048272795184,267.059881089289,452.340625181243,344.070082044564,"Usf3"
"ENSMUSG00000068290",1557.43693014374,1234.27632607963,1658.36381086417,1890.94573231325,1741.63822622674,3192.81986549818,1648.45730556068,2112.43027115733,"Ddrgk1"
"ENSMUSG00000068299",185.730320117075,165.043419590806,162.081940653207,191.2422130571,149.915710980811,109.732525398074,192.92204522249,140.028521762323,"Nat8f4"
"ENSMUSG00000068323",46.6919799177003,63.8877753254732,69.5945055912074,35.7939970962487,71.4363455009235,42.3065158161249,50.8985821438059,70.0142608811614,"Slc4a5"
"ENSMUSG00000068328",797.914056815812,874.907589873841,836.965501452152,1017.57220316478,1059.47143397849,1919.65815515667,1039.31620958159,1306.2660672971,"Aup1"
"ENSMUSG00000068329",652.650119294078,473.834333663926,476.172932992471,511.342815660695,565.453889739705,393.979428537663,518.837159917505,558.113679595544,"Htra2"
"ENSMUSG00000068335",28.0151879506202,27.5072365984676,39.3758386897621,26.5898264143562,25.1536427820153,25.1194937658242,17.239842339031,39.0079453480756,"Dok1"
"ENSMUSG00000068373",2426.94535616669,2244.05810830724,2259.98999735658,2891.13227974557,2004.24225687098,1718.70220503008,1775.7037609202,1682.34266860162,"D430041D05Rik"
"ENSMUSG00000068391",200.256713869248,157.944777887975,230.760729065582,234.195009572598,228.395076460699,471.982067073644,247.925351732732,402.081898203241,"Chrac1"
"ENSMUSG00000068394",84.0455638518606,89.6203514982332,68.6787884123757,55.2250240913551,74.4547826347654,18.5091006695547,82.9154322020064,59.0120198855503,"Cep152"
"ENSMUSG00000068417",18.6767919670801,12.4226229799531,25.6400810072869,28.6351976769989,22.1352056481735,67.4260095819491,33.6587398047749,22.0044819912221,"Pnp2"
"ENSMUSG00000068428",16.6015928596268,7.09864170283035,9.15717178831676,16.3629701011423,17.1044770917704,13.220786192539,10.6722833527335,13.0026484493585,"Gmnc"
"ENSMUSG00000068457",169.128727257448,195.212646827835,193.216324733484,127.835703915174,128.786651043918,219.465050796148,207.69905294166,139.028318035449,"Uty"
"ENSMUSG00000068479",300.903870580735,346.946113225833,361.708285638512,343.622372123987,341.083396124128,584.358749710226,407.188657150447,346.070489498312,"Mfap1a"
"ENSMUSG00000068522",71.5943692071405,54.1271429840814,36.628687153267,50.1115959347481,63.3871798106786,79.3247171552342,82.9154322020064,70.0142608811614,"Aard"
"ENSMUSG00000068523",183.655121009621,214.733911510618,240.833618032731,186.128784900493,201.229142256123,304.078082428398,274.195587677922,293.059691974004,"Gng5"
"ENSMUSG00000068551",492.85978802017,525.299486009446,486.24582195962,458.163162831983,479.931504280852,415.132686445726,389.127869938129,441.089843551317,"Zfp467"
"ENSMUSG00000068566",667.176513046251,559.01803409789,709.680813594549,783.377193592185,581.552221120194,441.574258830804,614.887710092107,510.103900705604,"Myadm"
"ENSMUSG00000068580",333.069456746262,345.171452800126,352.551113850195,313.964488815667,385.353807420475,565.849649040671,359.57385449979,436.088824916948,"Zfyve19"
"ENSMUSG00000068601",9.33839598354006,4.43665106426897,12.8200405036435,7.15879941924973,11.0676028240867,18.5091006695547,20.5236218321798,18.0036670837272,"Gm10244"
"ENSMUSG00000068615",92.346360281674,144.634824695168,125.45325349994,94.0870780815679,106.651445395745,72.7143240589647,105.080943780761,63.0128347930452,"Gjd2"
"ENSMUSG00000068617",106.872754033847,107.366955755309,108.970344280969,87.9509642936396,67.4117626558011,84.6130316322499,142.844407951971,104.021187594868,"Clxn"
"ENSMUSG00000068663",1464.05297030834,1428.60164269461,1433.09738487157,1643.45580953347,1417.65930719438,764.161441928757,955.579832506292,933.190077173194,"Clec16a"
"ENSMUSG00000068686",15.5639933059001,20.4085948956373,32.9658184379403,20.4537126264278,17.1044770917704,63.4597737241874,22.9864564520414,24.0048894449696,"Cd59b"
"ENSMUSG00000068696",2128.11668469341,2031.09885722233,1763.67128642981,1876.62813347475,1741.63822622674,1645.98788097111,1906.23399577286,1957.3986934919,"Gpr88"
"ENSMUSG00000068699",58.1055750086937,81.634379582549,53.1115963722372,40.9074252528556,60.3687426768368,44.9506730546327,42.689133410934,63.0128347930452,"Flnc"
"ENSMUSG00000068706",23.8647897357135,22.1832553213448,32.9658184379403,46.0208534094626,14.0860399579286,39.6623585776171,26.2702359451901,37.0075378943282,"Gm10250"
